BrokerName	QueryDateTime	SalePrice	
holiday autos	10:52.0	£37.375420339	
edreams	10:52.0	£38.158151655	
bsp-auto	10:52.0	£41.876125406	
easycar	10:52.0	£45.202733499	
wisecars	10:52.0	£48.333658763	
argus car hire	10:52.0	£37.766785997	
edreams	10:52.0	£38.745200142	
holiday autos	10:52.0	£40.114979945	
bsp-auto	10:52.0	£43.832953696	
goldcar	10:52.0	£44.811367841	
easycar	10:52.0	£46.96387896	
wisecars	10:52.0	£85.317713444	
edreams	10:52.0	£37.962468826	
argus car hire	10:52.0	£42.854539551	
holiday autos	10:52.0	£42.854539551	
easycar	10:52.0	£45.00705067	
edreams	10:52.0	£38.549517313	
argus car hire	10:52.0	£39.332248629	
holiday autos	10:52.0	£39.332248629	
easycar	10:52.0	£45.594099157	
wisecars	10:52.0	£86.491810418	
argus car hire	10:52.0	£39.919297116	
holiday autos	10:52.0	£39.919297116	
edreams	10:52.0	£42.463173893	
easycar	10:52.0	£48.137975934	
wisecars	10:52.0	£63.792602254	
bsp-auto	10:52.0	£40.310662774	
argus car hire	10:52.0	£40.897711261	
holiday autos	10:52.0	£40.897711261	
edreams	10:52.0	£41.484759748	
easycar	10:52.0	£49.312072908	
bsp-auto	10:52.0	£41.09339409	
argus car hire	10:52.0	£41.09339409	
holiday autos	10:52.0	£41.09339409	
edreams	10:52.0	£41.876125406	
bsp-auto	10:52.0	£43.832953696	
easycar	10:52.0	£49.703438566	
holiday autos	10:52.0	£41.484759748	
argus car hire	10:52.0	£42.463173893	
bsp-auto	10:52.0	£47.355244618	
argus car hire	10:52.0	£47.942293105	
holiday autos	10:52.0	£48.137975934	
edreams	10:52.0	£48.725024421	
easycar	10:52.0	£57.530751726	
wisecars	10:52.0	£59.291897187	
argus car hire	10:52.0	£50.486169882	
holiday autos	10:52.0	£50.486169882	
edreams	10:52.0	£51.073218369	
easycar	10:52.0	£60.857359819	
wisecars	10:52.0	£62.422822451	
bsp-auto	10:52.0	£52.051632514	
wisecars	10:52.0	£56.356654752	
edreams	10:52.0	£57.530751726	
argus car hire	10:52.0	£57.530751726	
easycar	10:52.0	£57.530751726	
holiday autos	10:52.0	£57.530751726	
edreams	10:52.0	£43.05022238	
easycar	10:52.0	£51.073218369	
argus car hire	10:52.0	£43.441588038	
holiday autos	10:52.0	£43.441588038	
edreams	10:52.0	£44.028636525	
bsp-auto	10:52.0	£45.398416328	
wisecars	10:52.0	£50.290487053	
easycar	10:52.0	£52.442998172	
argus car hire	10:52.0	£43.441588038	
holiday autos	10:52.0	£43.441588038	
edreams	10:52.0	£44.224319354	
easycar	10:52.0	£52.442998172	
argus car hire	10:52.0	£43.637270867	
holiday autos	10:52.0	£43.637270867	
edreams	10:52.0	£46.376830473	
easycar	10:52.0	£52.638681001	
wisecars	10:52.0	£68.097624492	
argus car hire	10:52.0	£43.832953696	
holiday autos	10:52.0	£43.832953696	
edreams	10:52.0	£46.572513302	
easycar	10:52.0	£52.83436383	
wisecars	10:52.0	£68.097624492	
bsp-auto	10:52.0	£45.789781986	
wisecars	10:52.0	£49.507755737	
argus car hire	10:52.0	£46.376830473	
holiday autos	10:52.0	£46.376830473	
edreams	10:52.0	£47.159561789	
easycar	10:52.0	£54.008460804	
argus car hire	10:52.0	£46.96387896	
holiday autos	10:52.0	£47.159561789	
edreams	10:52.0	£47.746610276	
bsp-auto	10:52.0	£52.83436383	
easycar	10:52.0	£56.74802041	
wisecars	10:52.0	£60.857359819	
argus car hire	10:52.0	£47.159561789	
edreams	10:52.0	£47.942293105	
holiday autos	10:52.0	£50.094804224	
easycar	10:52.0	£58.7048487	
bsp-auto	10:52.0	£67.119210347	
wisecars	10:52.0	£98.819828645	
argus car hire	10:52.0	£47.550927447	
holiday autos	10:52.0	£47.746610276	
edreams	10:52.0	£48.333658763	
bsp-auto	10:52.0	£50.094804224	
wisecars	10:52.0	£54.204143633	
easycar	10:52.0	£57.530751726	
argus car hire	10:52.0	£47.942293105	
holiday autos	10:52.0	£47.942293105	
edreams	10:52.0	£48.529341592	
easycar	10:52.0	£55.769606265	
bsp-auto	10:52.0	£47.942293105	
edreams	10:52.0	£49.703438566	
argus car hire	10:52.0	£50.486169882	
holiday autos	10:52.0	£50.681852711	
bsp-auto	10:52.0	£50.87753554	
easycar	10:52.0	£59.291897187	
wisecars	10:52.0	£49.899121395	
argus car hire	10:52.0	£62.814188109	
holiday autos	10:52.0	£63.009870938	
edreams	10:52.0	£63.401236596	
easycar	10:52.0	£76.120620481	
argus car hire	10:52.0	£50.094804224	
holiday autos	10:52.0	£50.094804224	
edreams	10:52.0	£50.681852711	
wisecars	10:52.0	£57.139386068	
easycar	10:52.0	£60.465994161	
argus car hire	10:52.0	£50.094804224	
holiday autos	10:52.0	£50.094804224	
edreams	10:52.0	£50.681852711	
wisecars	10:52.0	£57.139386068	
easycar	10:52.0	£60.465994161	
argus car hire	10:52.0	£50.87753554	
holiday autos	10:52.0	£50.87753554	
edreams	10:52.0	£51.464584027	
easycar	10:52.0	£61.444408306	
wisecars	10:52.0	£63.009870938	
argus car hire	10:52.0	£50.87753554	
holiday autos	10:52.0	£50.87753554	
edreams	10:52.0	£51.464584027	
easycar	10:52.0	£59.291897187	
argus car hire	10:52.0	£50.87753554	
holiday autos	10:52.0	£50.87753554	
edreams	10:52.0	£51.464584027	
easycar	10:52.0	£59.291897187	
argus car hire	10:52.0	£51.268901198	
holiday autos	10:52.0	£51.268901198	
edreams	10:52.0	£54.399826462	
easycar	10:52.0	£61.835773964	
wisecars	10:52.0	£73.576743704	
goldcar	10:52.0	£51.464584027	
bsp-auto	10:52.0	£51.464584027	
bsp-auto	10:52.0	£52.051632514	
wisecars	10:52.0	£56.74802041	
argus car hire	10:52.0	£52.247315343	
holiday autos	10:52.0	£52.247315343	
edreams	10:52.0	£52.83436383	
easycar	10:52.0	£61.053042648	
bsp-auto	10:52.0	£52.638681001	
bsp-auto	10:52.0	£52.83436383	
holiday autos	10:52.0	£53.812777975	
edreams	10:52.0	£56.356654752	
argus car hire	10:52.0	£56.356654752	
easycar	10:52.0	£57.530751726	
argus car hire	10:52.0	£53.030046659	
holiday autos	10:52.0	£53.030046659	
