Value	Count	
Bologna Airport	10731	
Palermo Airport	6252	
Malaga Airport	10538	
Murcia Airport	1824	
Grenoble Airport	218	
Dublin Airport	9200	
Keflavik International Airport	10751	
Lisbon Airport	13745	
Podgorica Airport	4348	
Beirut Airport	1622	
	2	
		
